,type,
0,United StatesCalifornia/Cabernet/Napa,2006
1,United StatesCalifornia/Cabernet/Napa,2006
2,United StatesCalifornia/Cabernet/Napa,2006
3,United StatesCalifornia/Cabernet/Napa,2006
4,United StatesCalifornia/Cabernet/Napa,2006
5,United StatesCalifornia/Cabernet/Napa,2006
6,United StatesCalifornia/Cabernet/Napa,2006
7,United StatesCalifornia/Cabernet/Napa,2006
8,United StatesCalifornia/Cabernet/Napa,2006
9,United StatesCalifornia/Cabernet/Napa,2006
10,United StatesCalifornia/Cabernet/Napa,2006
11,United StatesCalifornia/Cabernet/Napa,2006
12,United StatesCalifornia/Cabernet/Napa,2006
13,United StatesCalifornia/Cabernet/Napa,2006
14,United StatesCalifornia/Cabernet/Napa,2006
15,United StatesCalifornia/Cabernet/Napa,2006
16,United StatesCalifornia/Cabernet/Napa,2006
17,United StatesCalifornia/Cabernet/Napa,2006
18,United StatesCalifornia/Cabernet/Napa,2006
19,United StatesCalifornia/Cabernet/Napa,2006
20,United StatesCalifornia/Cabernet/Napa,2006
21,United StatesCalifornia/Cabernet/Napa,2006
22,United StatesCalifornia/Cabernet/Napa,2006
23,United StatesCalifornia/Cabernet/Napa,2006
24,United StatesCalifornia/Cabernet/Napa,2006
25,United StatesCalifornia/Cabernet/Napa,2006
26,United StatesCalifornia/Cabernet/Napa,2006
27,United StatesCalifornia/Cabernet/Napa,2006
28,United StatesCalifornia/Cabernet/Napa,2006
29,United StatesCalifornia/Cabernet/Napa,2006
30,United StatesCalifornia/Cabernet/Napa,2006
31,United StatesCalifornia/Cabernet/Napa,2006
32,United StatesCalifornia/Cabernet/Napa,2006
33,United StatesCalifornia/Cabernet/Napa,2006
34,United StatesCalifornia/Cabernet/Napa,2006
35,United StatesCalifornia/Cabernet/Napa,2006
36,United StatesCalifornia/Cabernet/Napa,2006
37,United StatesCalifornia/Cabernet/Napa,2006
38,United StatesCalifornia/Cabernet/Napa,2006
39,United StatesCalifornia/Cabernet/Napa,2006
40,United StatesCalifornia/Cabernet/Napa,2006
41,United StatesCalifornia/Cabernet/Napa,2006
42,United StatesCalifornia/Cabernet/Napa,2006
43,United StatesCalifornia/Cabernet/Napa,2006
44,United StatesCalifornia/Cabernet/Napa,2006
45,United StatesCalifornia/Cabernet/Napa,2006
46,United StatesCalifornia/Cabernet/Napa,2006
47,United StatesCalifornia/Cabernet/Napa,2006
48,United StatesCalifornia/Cabernet/Napa,2006
49,United StatesCalifornia/Cabernet/Napa,2006
50,United StatesCalifornia/Cabernet/Napa,2006
51,United StatesCalifornia/Cabernet/Napa,2006
52,United StatesCalifornia/Cabernet/Napa,2006
53,United StatesCalifornia/Cabernet/Napa,2006
54,United StatesCalifornia/Cabernet/Napa,2006
55,United StatesCalifornia/Cabernet/Napa,2006
56,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
57,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
58,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
59,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
60,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
61,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
62,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
63,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
64,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
65,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
66,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
67,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
68,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
69,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
70,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
71,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
72,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
73,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
74,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
75,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
76,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
77,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
78,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
79,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
80,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
81,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
82,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
83,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
84,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
85,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
86,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
87,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
88,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
89,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
90,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
91,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
92,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
93,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
94,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
95,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
96,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
97,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
98,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
99,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
100,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
101,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
102,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
103,United StatesCalifornia/Merlot,2009
104,United StatesCalifornia/Merlot,2009
105,United StatesCalifornia/Merlot,2009
106,United StatesCalifornia/Merlot,2009
107,United StatesCalifornia/Merlot,2009
108,United StatesCalifornia/Merlot,2009
109,United StatesCalifornia/Merlot,2009
110,United StatesCalifornia/Merlot,2009
111,United StatesCalifornia/Merlot,2009
112,United StatesCalifornia/Merlot,2009
113,United StatesCalifornia/Merlot,2009
114,United StatesCalifornia/Merlot,2009
115,United StatesCalifornia/Merlot,2009
116,United StatesCalifornia/Merlot,2009
117,United StatesCalifornia/Merlot,2009
118,United StatesCalifornia/Merlot,2009
119,United StatesCalifornia/Merlot,2009
120,United StatesCalifornia/Merlot,2009
121,United StatesCalifornia/Merlot,2009
122,United StatesCalifornia/Merlot,2009
123,United StatesCalifornia/Merlot,2009
124,United StatesCalifornia/Merlot,2009
125,United StatesCalifornia/Merlot,2009
126,United StatesCalifornia/Merlot,2009
127,United StatesCalifornia/Merlot,2009
128,United StatesCalifornia/Merlot,2009
129,United StatesCalifornia/Merlot,2009
130,United StatesCalifornia/Merlot,2009
131,United StatesCalifornia/Merlot,2009
132,United StatesCalifornia/Merlot,2009
133,United StatesCalifornia/Merlot,2009
134,United StatesCalifornia/Merlot,2009
135,United StatesCalifornia/Merlot,2009
136,United StatesCalifornia/Merlot,2009
137,United StatesCalifornia/Merlot,2009
138,United StatesCalifornia/Merlot,2009
139,United StatesCalifornia/Merlot,2009
140,United StatesCalifornia/Merlot,2009
141,United StatesCalifornia/Merlot,2009
142,United StatesCalifornia/Merlot,2009
143,United StatesCalifornia/Merlot,2009
144,United StatesCalifornia/Merlot,2009
145,United StatesCalifornia/Merlot,2009
146,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
147,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
148,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
149,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
150,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
151,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
152,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
153,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
154,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
155,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
156,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
157,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
158,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
159,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
160,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
161,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
162,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
163,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
164,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
165,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
166,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
167,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
168,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
169,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
170,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
171,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
172,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
173,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
174,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
175,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
176,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
177,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
178,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
179,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
180,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
181,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
182,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
183,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
184,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
185,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
186,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
187,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
188,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
189,United StatesCalifornia/Pinot Noir,Another huge crop of uniformly exceptional quality; slow to open and ageworthy
190,United StatesCalifornia/Rhône-Style Reds,93
191,United StatesCalifornia/Rhône-Style Reds,93
192,United StatesCalifornia/Rhône-Style Reds,93
193,United StatesCalifornia/Rhône-Style Reds,93
194,United StatesCalifornia/Rhône-Style Reds,93
195,United StatesCalifornia/Rhône-Style Reds,93
196,United StatesCalifornia/Rhône-Style Reds,93
197,United StatesCalifornia/Rhône-Style Reds,93
198,United StatesCalifornia/Rhône-Style Reds,93
199,United StatesCalifornia/Rhône-Style Reds,93
200,United StatesCalifornia/Rhône-Style Reds,93
201,United StatesCalifornia/Rhône-Style Reds,93
202,United StatesCalifornia/Rhône-Style Reds,93
203,United StatesCalifornia/Rhône-Style Reds,93
204,United StatesCalifornia/Rhône-Style Reds,93
205,United StatesCalifornia/Rhône-Style Reds,93
206,United StatesCalifornia/Rhône-Style Reds,93
207,United StatesCalifornia/Rhône-Style Reds,93
208,United StatesCalifornia/Rhône-Style Reds,93
209,United StatesCalifornia/Rhône-Style Reds,93
210,United StatesCalifornia/Rhône-Style Reds,93
211,United StatesCalifornia/Rhône-Style Reds,93
212,United StatesCalifornia/Rhône-Style Reds,93
213,United StatesCalifornia/Rhône-Style Reds,93
214,United StatesCalifornia/Rhône-Style Reds,93
215,United StatesCalifornia/Rhône-Style Reds,93
216,United StatesCalifornia/Rhône-Style Reds,93
217,United StatesCalifornia/Rhône-Style Reds,93
218,United StatesCalifornia/Rhône-Style Reds,93
219,United StatesCalifornia/Rhône-Style Reds,93
220,United StatesCalifornia/Rhône-Style Reds,93
221,United StatesCalifornia/Rhône-Style Reds,93
222,United StatesCalifornia/Rhône-Style Reds,93
223,United StatesCalifornia/Rhône-Style Reds,93
224,United StatesCalifornia/Rhône-Style Reds,93
225,United StatesCalifornia/Rhône-Style Reds,93
226,United StatesCalifornia/Rhône-Style Reds,93
227,United StatesCalifornia/Zinfandel,2013
228,United StatesCalifornia/Zinfandel,2013
229,United StatesCalifornia/Zinfandel,2013
230,United StatesCalifornia/Zinfandel,2013
231,United StatesCalifornia/Zinfandel,2013
232,United StatesCalifornia/Zinfandel,2013
233,United StatesCalifornia/Zinfandel,2013
234,United StatesCalifornia/Zinfandel,2013
235,United StatesCalifornia/Zinfandel,2013
236,United StatesCalifornia/Zinfandel,2013
237,United StatesCalifornia/Zinfandel,2013
238,United StatesCalifornia/Zinfandel,2013
239,United StatesCalifornia/Zinfandel,2013
240,United StatesCalifornia/Zinfandel,2013
241,United StatesCalifornia/Zinfandel,2013
242,United StatesCalifornia/Zinfandel,2013
243,United StatesCalifornia/Zinfandel,2013
244,United StatesCalifornia/Zinfandel,2013
245,United StatesCalifornia/Zinfandel,2013
246,United StatesCalifornia/Zinfandel,2013
247,United StatesCalifornia/Zinfandel,2013
248,United StatesCalifornia/Zinfandel,2013
249,United StatesCalifornia/Zinfandel,2013
250,United StatesCalifornia/Zinfandel,2013
251,United StatesCalifornia/Zinfandel,2013
252,United StatesCalifornia/Zinfandel,2013
253,United StatesCalifornia/Zinfandel,2013
254,United StatesCalifornia/Zinfandel,2013
255,United StatesCalifornia/Zinfandel,2013
256,United StatesCalifornia/Zinfandel,2013
257,United StatesCalifornia/Zinfandel,2013
258,United StatesNew York/Finger Lakes,2012
259,United StatesNew York/Finger Lakes,2012
260,United StatesNew York/Finger Lakes,2012
261,United StatesNew York/Finger Lakes,2012
262,United StatesNew York/Finger Lakes,2012
263,United StatesNew York/Finger Lakes,2012
264,United StatesNew York/Finger Lakes,2012
265,United StatesNew York/Finger Lakes,2012
266,United StatesNew York/Finger Lakes,2012
267,United StatesNew York/Finger Lakes,2012
268,United StatesNew York/Finger Lakes,2012
269,United StatesNew York/Finger Lakes,2012
270,United StatesNew York/Finger Lakes,2012
271,United StatesNew York/Finger Lakes,2012
272,United StatesNew York/Finger Lakes,2012
273,United StatesNew York/Finger Lakes,2012
274,United StatesNew York/Finger Lakes,2012
275,United StatesNew York/Finger Lakes,2012
276,United StatesNew York/Finger Lakes,2012
277,United StatesNew York/Finger Lakes,2012
278,United StatesNew York/Finger Lakes,2012
279,United StatesOregon: Pinot Noir,Drink
280,United StatesOregon: Pinot Noir,Drink
281,United StatesOregon: Pinot Noir,Drink
282,United StatesOregon: Pinot Noir,Drink
283,United StatesOregon: Pinot Noir,Drink
284,United StatesOregon: Pinot Noir,Drink
285,United StatesOregon: Pinot Noir,Drink
286,United StatesOregon: Pinot Noir,Drink
287,United StatesOregon: Pinot Noir,Drink
288,United StatesOregon: Pinot Noir,Drink
289,United StatesOregon: Pinot Noir,Drink
290,United StatesOregon: Pinot Noir,Drink
291,United StatesOregon: Pinot Noir,Drink
292,United StatesOregon: Pinot Noir,Drink
293,United StatesOregon: Pinot Noir,Drink
294,United StatesOregon: Pinot Noir,Drink
295,United StatesOregon: Pinot Noir,Drink
296,United StatesOregon: Pinot Noir,Drink
297,United StatesOregon: Pinot Noir,Drink
298,United StatesOregon: Pinot Noir,Drink
299,United StatesOregon: Pinot Noir,Drink
300,United StatesOregon: Pinot Noir,Drink
301,United StatesOregon: Pinot Noir,Drink
302,United StatesOregon: Pinot Noir,Drink
303,United StatesOregon: Pinot Noir,Drink
304,United StatesOregon: Pinot Noir,Drink
305,United StatesOregon: Pinot Noir,Drink
306,United StatesOregon: Pinot Noir,Drink
307,United StatesOregon: Pinot Noir,Drink
308,United StatesOregon: Pinot Noir,Drink
309,United StatesOregon: Pinot Noir,Drink
310,United StatesOregon: Pinot Noir,Drink
311,United StatesOregon: Pinot Noir,Drink
312,United StatesOregon: Pinot Noir,Drink
313,United StatesOregon: Pinot Noir,Drink
314,United StatesOregon: Pinot Noir,Drink
315,United StatesOregon: Pinot Noir,Drink
316,United StatesOregon: Pinot Noir,Drink
317,United StatesOregon: Pinot Noir,Drink
318,United StatesOregon: Pinot Noir,Drink
319,United StatesOregon: Pinot Noir,Drink
320,United StatesOregon: Pinot Noir,Drink
321,United StatesOregon: Pinot Noir,Drink
322,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
323,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
324,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
325,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
326,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
327,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
328,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
329,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
330,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
331,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
332,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
333,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
334,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
335,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
336,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
337,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
338,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
339,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
340,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
341,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
342,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
343,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
344,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
345,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
346,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
347,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
348,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
349,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
350,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
351,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
352,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
353,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
354,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
355,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
356,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
357,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
358,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
359,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
360,"United StatesWashington: Merlot, Cabernet and Syrah",Another cool year; moderate alcohols with crisp balance
